"resource_id"	"resource_name"	"url"	"resource_type"	"description"	"project_id"	"test"
1	"Enrichr"	"http://amp.pharm.mssm.edu/Enrichr"	"Tool"	"A comprehensive gene set enrichment analysis web server 2016 update"	1	"test"
2	"Characteristic Direction"	"http://www.maayanlab.net/CD/"	"Tool"	"A geometrical multivariate approach to identify differentially expressed genes"	1	"test"
3	"L1000CDS2"	"http://amp.pharm.mssm.edu/L1000CDS2/#/index"	"Tool"	"An ultra-fast LINCS L1000 Characteristic Direction signature search engine"	1	"test"
4	"GeneMANIA"	"http://www.genemania.org"	"Tool"	"Biological network integration for gene prioritization and predicting gene function"	1	"test"
5	"Clustergrammer"	"http://amp.pharm.mssm.edu/clustergrammer/"	"Tool"	"Web-based tool for visualizing and analyzing high-dimensional data as interactive and shareable heatmaps"	1	"test"
6	"ARCHS4"	"http://amp.pharm.mssm.edu/archs4/"	"Tool"	"ARCHS4 provides access to gene counts from HiSeq 2000 and HiSeq 2500 platforms for human and mouse experiments from GEO and SRA."	1	"test"
7	"PAEA"	"http://amp.pharm.mssm.edu/PAEA/"	"Tool"	"Enrichment analysis tool implementing the principal angle method"	1	"test"
8	"Drug-Pathway Browser"	"http://lincs.hms.harvard.edu/explore/pathway/"	"Tool"	"Interactive map of key signal transduction pathways and drug-target data"	1	"test"
9	"GR Browser"	"http://grcalculator.org"	"Tool"	"Online tool for calculating dose-response metrics and browsing response data"	1	"test"
10	"Breast Cancer Browser"	"http://www.cancerbrowser.org/"	"Tool"	"Online tool for exploring multiple datasets relevant to breast cancer biology"	1	"test"
11	"Drug Response Browser 2"	"http://www.cancerbrowser.org/dataset/drug_dose_response"	"Tool"	"Online tool for comparing breast cancer cell line drug dose-response data"	1	"test"
12	"RTK Profile Browser 2"	"http://www.cancerbrowser.org/dataset/receptor_profile"	"Tool"	"Online tool for comparing breast cancer cell line RTK profiles"	1	"test"
13	"GF Response Browser 2"	"http://www.cancerbrowser.org/dataset/growth_factor_pakt_perk"	"Tool"	"Online tool for comparing growth factor-stimulated breast cancer cell line signaling profiles"	1	"test"
14	"RTK Profile Browser 1"	"http://lincs.hms.harvard.edu/explore/responses/"	"Tool"	"Online tool for comparing breast cancer cell line RTK profiles"	1	"test"
15	"MetaFast"	"https://github.com/ctlab/metafast"	"Tool"	"Fast reference-free graph-based comparison of shotgun metagenomic data"	1	"test"
